,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
34,700,1192.462366862301,1.062242373,"[10, 14, 16, 2, 12, 13, 17, 11, 7, 9, 3, 18, 19, 8, 0, 6, 1, 4, 15, 5]",10,0.1,2000
35,800,1192.462366862301,1.062242373,"[10, 14, 16, 2, 12, 13, 17, 11, 7, 9, 3, 18, 19, 8, 0, 6, 1, 4, 15, 5]",10,0.1,2000
36,900,1192.462366862301,1.062242373,"[10, 14, 16, 2, 12, 13, 17, 11, 7, 9, 3, 18, 19, 8, 0, 6, 1, 4, 15, 5]",10,0.1,2000
37,1000,1192.462366862301,1.062242373,"[10, 14, 16, 2, 12, 13, 17, 11, 7, 9, 3, 18, 19, 8, 0, 6, 1, 4, 15, 5]",10,0.1,2000
38,1500,1192.462366862301,1.062242373,"[10, 14, 16, 2, 12, 13, 17, 11, 7, 9, 3, 18, 19, 8, 0, 6, 1, 4, 15, 5]",10,0.1,2000
39,2000,1192.462366862301,1.062242373,"[10, 14, 16, 2, 12, 13, 17, 11, 7, 9, 3, 18, 19, 8, 0, 6, 1, 4, 15, 5]",10,0.1,2000
40,0,2633.137458865322,0.0006468769999998791,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",10,0.2,2000
41,10,1946.4605539655925,0.024097578999999758,"[2, 16, 15, 17, 11, 1, 13, 12, 19, 10, 14, 6, 4, 5, 3, 8, 0, 9, 7, 18]",10,0.2,2000
42,25,1800.2750195001315,0.05604893199999994,"[2, 16, 15, 17, 11, 1, 13, 12, 19, 10, 14, 6, 4, 5, 18, 3, 8, 0, 9, 7]",10,0.2,2000
43,50,1710.891145672347,0.10163534799999985,"[2, 13, 12, 17, 11, 1, 16, 15, 19, 10, 14, 6, 4, 5, 18, 3, 8, 0, 9, 7]",10,0.2,2000
44,75,1537.3356562265592,0.15032155400000002,"[2, 13, 12, 16, 17, 11, 1, 15, 5, 10, 14, 4, 6, 8, 19, 18, 3, 0, 9, 7]",10,0.2,2000
45,100,1506.9999287058545,0.19790192199999979,"[2, 13, 12, 16, 17, 11, 1, 4, 5, 10, 14, 15, 6, 8, 19, 18, 3, 0, 9, 7]",10,0.2,2000
46,125,1415.151371062382,0.24474500100000007,"[17, 13, 12, 16, 2, 11, 1, 4, 5, 10, 14, 15, 6, 8, 19, 18, 3, 0, 9, 7]",10,0.2,2000
47,150,1415.151371062382,0.29210385299999997,"[17, 13, 12, 16, 2, 11, 1, 4, 5, 10, 14, 15, 6, 8, 19, 18, 3, 0, 9, 7]",10,0.2,2000
48,175,1367.6673870578038,0.3401058899999998,"[17, 13, 12, 16, 2, 11, 1, 4, 5, 14, 10, 0, 6, 8, 19, 18, 3, 15, 9, 7]",10,0.2,2000
49,200,1367.1630734984647,0.391623375,"[17, 13, 12, 16, 2, 11, 1, 4, 5, 14, 10, 0, 6, 8, 19, 3, 18, 15, 9, 7]",10,0.2,2000
50,300,1346.7144934188816,0.5489685779999998,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 5, 14, 10, 6, 0, 8, 19, 3, 18, 9, 7]",10,0.2,2000
51,400,1269.3874631108251,0.7054070869999998,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 6, 0, 14, 5, 10, 8, 19, 3, 18, 9, 7]",10,0.2,2000
52,500,1219.5885223261428,0.8664451710000001,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 6, 0, 18, 14, 5, 10, 19, 8, 3, 9, 7]",10,0.2,2000
53,600,1177.9092496954595,1.0269862439999997,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19, 8, 9, 7]",10,0.2,2000
54,700,1177.9092496954595,1.164827312,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19, 8, 9, 7]",10,0.2,2000
55,800,1177.9092496954595,1.164827312,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19, 8, 9, 7]",10,0.2,2000
56,900,1177.9092496954595,1.164827312,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19, 8, 9, 7]",10,0.2,2000
57,1000,1177.9092496954595,1.164827312,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19, 8, 9, 7]",10,0.2,2000
58,1500,1177.9092496954595,1.164827312,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19, 8, 9, 7]",10,0.2,2000
59,2000,1177.9092496954595,1.164827312,"[17, 13, 12, 16, 2, 11, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19, 8, 9, 7]",10,0.2,2000
60,0,2633.137458865322,0.0006517639999996661,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",10,0.3,2000
61,10,1970.0780398432248,0.02916594299999975,"[2, 16, 15, 7, 1, 17, 14, 5, 10, 18, 8, 9, 6, 13, 12, 11, 3, 4, 0, 19]",10,0.3,2000
62,25,1707.960757504886,0.06499744499999993,"[2, 17, 15, 7, 1, 11, 16, 14, 5, 10, 18, 8, 4, 9, 6, 13, 12, 19, 3, 0]",10,0.3,2000
63,50,1454.5919029961276,0.1158621959999997,"[2, 17, 11, 7, 9, 1, 12, 13, 15, 4, 6, 16, 14, 5, 10, 18, 8, 19, 3, 0]",10,0.3,2000
64,75,1454.5919029961276,0.16633415499999993,"[2, 17, 11, 7, 9, 1, 12, 13, 15, 4, 6, 16, 14, 5, 10, 18, 8, 19, 3, 0]",10,0.3,2000
65,100,1372.6594879770983,0.22209262399999963,"[2, 17, 11, 7, 9, 1, 13, 12, 4, 15, 6, 16, 14, 5, 10, 19, 8, 18, 3, 0]",10,0.3,2000
66,125,1366.4216558295113,0.2765679889999997,"[2, 17, 11, 7, 9, 1, 13, 12, 4, 15, 6, 16, 14, 5, 10, 19, 8, 0, 18, 3]",10,0.3,2000
67,150,1366.4216558295113,0.328399519,"[2, 17, 11, 7, 9, 1, 13, 12, 4, 15, 6, 16, 14, 5, 10, 19, 8, 0, 18, 3]",10,0.3,2000
68,175,1366.4216558295113,0.37984044100000025,"[2, 17, 11, 7, 9, 1, 13, 12, 4, 15, 6, 16, 14, 5, 10, 19, 8, 0, 18, 3]",10,0.3,2000
69,200,1353.1497992819163,0.43301237899999956,"[2, 17, 11, 7, 9, 6, 1, 12, 13, 4, 15, 16, 14, 5, 10, 19, 8, 0, 18, 3]",10,0.3,2000
70,300,1181.695777493332,0.5953610469999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
71,400,1181.695777493332,0.6902474149999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
72,500,1181.695777493332,0.6902474149999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
73,600,1181.695777493332,0.6902474149999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
74,700,1181.695777493332,0.6902474149999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
75,800,1181.695777493332,0.6902474149999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
76,900,1181.695777493332,0.6902474149999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
77,1000,1181.695777493332,0.6902474149999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
78,1500,1181.695777493332,0.6902474149999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
79,2000,1181.695777493332,0.6902474149999995,"[2, 17, 11, 7, 9, 6, 4, 15, 1, 13, 12, 16, 5, 14, 10, 19, 8, 0, 18, 3]",10,0.3,2000
80,0,2633.137458865322,0.0006825509999996981,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",10,0.4,2000
81,10,1569.3574117462958,0.03075769500000014,"[7, 1, 2, 13, 18, 0, 8, 3, 11, 17, 12, 16, 10, 14, 5, 19, 6, 4, 15, 9]",10,0.4,2000
82,25,1487.9144948387834,0.06901843999999979,"[7, 1, 2, 12, 13, 18, 19, 8, 3, 11, 17, 16, 10, 14, 5, 0, 6, 15, 4, 9]",10,0.4,2000
83,50,1457.121413939134,0.12352960499999988,"[7, 1, 2, 12, 16, 5, 19, 8, 3, 11, 17, 13, 10, 14, 18, 0, 6, 15, 4, 9]",10,0.4,2000
