,Iteration,Time,Fitness,Temperature,max_iters
126,126,0.09170990299999993,20.0,10,1900
127,127,0.09242495500000003,18.0,10,1900
128,128,0.09305086799999995,18.0,10,1900
129,129,0.09366586199999993,18.0,10,1900
130,130,0.09427965599999988,18.0,10,1900
131,131,0.09489825299999999,17.0,10,1900
132,132,0.09552884699999997,16.0,10,1900
133,133,0.0961549639999999,13.0,10,1900
134,134,0.096769031,11.0,10,1900
135,135,0.09738217699999985,10.0,10,1900
136,136,0.09771965299999996,10.0,10,1900
137,137,0.09835494499999986,11.0,10,1900
138,138,0.09896738100000002,10.0,10,1900
139,139,0.09957243800000004,10.0,10,1900
140,140,0.10021783099999992,11.0,10,1900
141,141,0.10095525799999994,10.0,10,1900
142,142,0.101578218,10.0,10,1900
143,143,0.10219138500000002,11.0,10,1900
144,144,0.10280190099999986,12.0,10,1900
145,145,0.10337670899999996,13.0,10,1900
146,146,0.10396843899999997,13.0,10,1900
147,147,0.104563301,15.0,10,1900
148,148,0.10514792699999997,13.0,10,1900
149,149,0.10593582199999996,13.0,10,1900
150,150,0.10631147200000002,13.0,10,1900
151,151,0.10698288899999997,15.0,10,1900
152,152,0.10763995599999987,16.0,10,1900
153,153,0.1082561099999999,16.0,10,1900
154,154,0.10884732600000002,15.0,10,1900
155,155,0.10957311499999989,16.0,10,1900
156,156,0.11026929699999988,15.0,10,1900
157,157,0.11087162699999986,17.0,10,1900
158,158,0.11148709099999987,18.0,10,1900
159,159,0.11206912999999985,20.0,10,1900
160,160,0.11276194100000003,19.0,10,1900
161,161,0.1133494209999999,18.0,10,1900
162,162,0.11399012999999991,19.0,10,1900
163,163,0.11480566299999984,18.0,10,1900
164,164,0.11548688799999995,16.0,10,1900
165,165,0.11609275499999994,17.0,10,1900
166,166,0.11677610299999985,16.0,10,1900
167,167,0.11739339799999993,16.0,10,1900
168,168,0.11807673200000002,17.0,10,1900
169,169,0.11870598899999996,17.0,10,1900
170,170,0.11932897499999995,14.0,10,1900
171,171,0.11994115800000005,14.0,10,1900
172,172,0.12053810200000004,12.0,10,1900
173,173,0.12114323900000001,12.0,10,1900
174,174,0.12174571999999984,12.0,10,1900
175,175,0.12251667600000005,12.0,10,1900
176,176,0.12309083099999985,14.0,10,1900
177,177,0.123771552,14.0,10,1900
178,178,0.12438122500000004,15.0,10,1900
179,179,0.12500599599999984,16.0,10,1900
180,180,0.12532743699999993,16.0,10,1900
181,181,0.1259201379999999,16.0,10,1900
182,182,0.12651743599999987,16.0,10,1900
183,183,0.12700787400000002,16.0,10,1900
184,184,0.1278304079999999,16.0,10,1900
185,185,0.12846962299999998,16.0,10,1900
186,186,0.1290626479999999,15.0,10,1900
187,187,0.12963839300000002,14.0,10,1900
188,188,0.13021833299999996,14.0,10,1900
189,189,0.13086934500000003,14.0,10,1900
190,190,0.13156943499999985,14.0,10,1900
191,191,0.13189289699999995,14.0,10,1900
192,192,0.13252374499999986,14.0,10,1900
193,193,0.1331057229999999,14.0,10,1900
194,194,0.13398148200000004,16.0,10,1900
195,195,0.13470020999999988,18.0,10,1900
196,196,0.13528240299999994,15.0,10,1900
197,197,0.13588007099999988,16.0,10,1900
198,198,0.13648145899999986,16.0,10,1900
199,199,0.13706129199999983,15.0,10,1900
200,200,0.13764208599999983,15.0,10,1900
201,201,0.14335343099999998,15.0,10,1900
202,202,0.14395942899999992,15.0,10,1900
