,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,7247.8771106265995,0.0008463100000000168,"[2, 28, 13, 10, 26, 24, 27, 11, 17, 22, 5, 16, 8, 14, 23, 20, 1, 29, 6, 4, 18, 19, 9, 7, 25, 3, 0, 21, 15, 12]",True,10,0.1,50
1,1,5718.527995387012,0.07086526999999987,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,10,0.1,50
2,5,5718.527995387012,0.343686666,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,10,0.1,50
3,10,5718.527995387012,0.6809931769999997,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,10,0.1,50
4,20,5718.527995387012,1.436647848,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,10,0.1,50
5,30,5718.527995387012,2.158844523,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,10,0.1,50
6,50,5718.527995387012,3.490298881,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,10,0.1,50
7,0,7247.8771106265995,0.0034315340000006245,"[2, 28, 13, 10, 26, 24, 27, 11, 17, 22, 5, 16, 8, 14, 23, 20, 1, 29, 6, 4, 18, 19, 9, 7, 25, 3, 0, 21, 15, 12]",True,50,0.1,50
8,1,5718.527995387012,0.13337245200000059,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,50,0.1,50
9,5,5718.527995387012,0.7182430050000006,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,50,0.1,50
10,10,5718.527995387012,1.477666547,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,50,0.1,50
11,20,5718.527995387012,3.357434789,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,50,0.1,50
12,30,5718.527995387012,5.014256278,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,50,0.1,50
13,50,5718.527995387012,8.096569522,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,50,0.1,50
14,0,7247.8771106265995,0.00645058499999962,"[2, 28, 13, 10, 26, 24, 27, 11, 17, 22, 5, 16, 8, 14, 23, 20, 1, 29, 6, 4, 18, 19, 9, 7, 25, 3, 0, 21, 15, 12]",True,100,0.1,50
15,1,5718.527995387012,0.2159467450000001,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,100,0.1,50
16,5,5718.527995387012,1.1883678710000005,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,100,0.1,50
17,10,5718.527995387012,2.485681265,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,100,0.1,50
18,20,5718.527995387012,5.082366608000001,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,100,0.1,50
19,30,5718.527995387012,7.7090727480000005,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,100,0.1,50
20,50,5718.527995387012,12.919047297999999,"[15, 23, 28, 10, 12, 2, 18, 19, 17, 7, 5, 6, 9, 20, 25, 29, 0, 8, 1, 21, 14, 16, 26, 24, 27, 22, 11, 13, 3, 4]",True,100,0.1,50
21,0,7247.8771106265995,0.013951621000000358,"[2, 28, 13, 10, 26, 24, 27, 11, 17, 22, 5, 16, 8, 14, 23, 20, 1, 29, 6, 4, 18, 19, 9, 7, 25, 3, 0, 21, 15, 12]",True,200,0.1,50
22,1,5805.209818498448,0.36979826800000026,"[7, 20, 9, 17, 28, 26, 3, 8, 19, 4, 2, 13, 0, 24, 16, 14, 10, 25, 15, 18, 11, 27, 1, 21, 12, 22, 29, 5, 6, 23]",True,200,0.1,50
23,5,5444.529567954159,1.7482431859999998,"[15, 5, 28, 10, 12, 11, 18, 19, 17, 6, 2, 13, 9, 20, 25, 14, 0, 8, 1, 21, 29, 16, 26, 24, 27, 22, 23, 7, 3, 4]",True,200,0.1,50
24,10,5444.529567954159,4.047251856999999,"[15, 5, 28, 10, 12, 11, 18, 19, 17, 6, 2, 13, 9, 20, 25, 14, 0, 8, 1, 21, 29, 16, 26, 24, 27, 22, 23, 7, 3, 4]",True,200,0.1,50
25,20,5444.529567954159,8.829522276000002,"[15, 5, 28, 10, 12, 11, 18, 19, 17, 6, 2, 13, 9, 20, 25, 14, 0, 8, 1, 21, 29, 16, 26, 24, 27, 22, 23, 7, 3, 4]",True,200,0.1,50
26,30,5444.529567954159,13.586336878000001,"[15, 5, 28, 10, 12, 11, 18, 19, 17, 6, 2, 13, 9, 20, 25, 14, 0, 8, 1, 21, 29, 16, 26, 24, 27, 22, 23, 7, 3, 4]",True,200,0.1,50
27,50,5444.529567954159,23.117684942999997,"[15, 5, 28, 10, 12, 11, 18, 19, 17, 6, 2, 13, 9, 20, 25, 14, 0, 8, 1, 21, 29, 16, 26, 24, 27, 22, 23, 7, 3, 4]",True,200,0.1,50
