,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
12,30,15.0,5.277448783999999,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.1,50
13,50,15.0,8.625814100000001,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.1,50
14,0,18.0,0.003323634999997438,"[0, 3, 3, 9, 19, 21, 23, 6, 24, 24, 12, 1, 23, 24, 17, 25, 13, 8, 9, 20, 16, 5, 15, 0, 18, 24, 29, 19, 19, 14, 32, 1, 9, 32, 31, 10, 23, 11, 28, 0, 0, 5, 17, 15, 4, 31, 1, 1, 11, 18]",True,10,0.2,50
15,1,15.0,0.16854704600000048,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.2,50
16,5,15.0,0.8811480120000006,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.2,50
17,10,15.0,1.7588196899999993,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.2,50
18,20,15.0,3.4450154919999996,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.2,50
19,30,15.0,5.156115331999999,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.2,50
20,50,15.0,8.544727987999998,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.2,50
21,0,18.0,0.0034366069999975934,"[0, 3, 3, 9, 19, 21, 23, 6, 24, 24, 12, 1, 23, 24, 17, 25, 13, 8, 9, 20, 16, 5, 15, 0, 18, 24, 29, 19, 19, 14, 32, 1, 9, 32, 31, 10, 23, 11, 28, 0, 0, 5, 17, 15, 4, 31, 1, 1, 11, 18]",True,10,0.3,50
22,1,15.0,0.16688787700000063,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.3,50
