,Iteration,Time,Fitness,Restarts,max_iters,current_restart
117,117,1.165549548,21.0,100,2900,88
118,118,1.1821846320000002,14.0,100,2900,89
119,119,1.1825033829999998,18.0,100,2900,90
120,120,1.200674298,15.0,100,2900,91
121,121,1.218283613,14.0,100,2900,92
122,122,1.218616252,10.0,100,2900,93
123,123,1.237238095,23.0,100,2900,94
124,124,1.2543305550000001,12.0,100,2900,95
125,125,1.273448438,21.0,100,2900,96
126,126,1.292182377,21.0,100,2900,97
127,127,1.292522515,17.0,100,2900,98
128,128,1.314432154,17.0,100,2900,98
129,129,1.334159644,22.0,100,2900,99
130,130,1.354255196,19.0,100,2900,99
131,131,1.3743617650000002,19.0,100,2900,99
132,132,1.3957176420000001,12.0,100,2900,100
