,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
15,0,15.0,0.0004992720000003281,"[44, 47, 0, 3, 3, 39, 9, 19, 21, 36, 23, 6, 24, 24, 12, 1, 38, 39, 23, 46, 24, 17, 37, 25, 13, 8, 9, 20, 16, 5, 15, 47, 0, 18, 35, 24, 49, 29, 19, 19, 14, 39, 32, 1, 9, 32, 31, 10, 23, 35]",10,3000,0
16,100,3.0,0.05887761899999999,"[44, 47, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 9, 20, 16, 5, 15, 47, 0, 18, 35, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
17,200,1.0,0.11522585200000002,"[44, 47, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
18,300,0.0,0.1604793280000001,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
19,400,0.0,0.1604793280000001,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
20,500,0.0,0.1604793280000001,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
21,600,0.0,0.1604793280000001,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
22,700,0.0,0.1604793280000001,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
23,800,0.0,0.1604793280000001,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
24,900,0.0,0.1604793280000001,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
25,1000,0.0,0.1604793280000001,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
26,1500,0.0,0.1604793280000001,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",10,3000,0
